20230731	18:47:11	7aa287fa-26b5-4011-98bc-c0e9deef8e3b	GET	undefined	/api/serie/series/1
20230731	18:47:50	0a787c25-8650-4bec-b3ad-57def7adc80a	GET	undefined	/api/serie/series/1
20230731	18:48:29	4fc000f6-9934-41bf-be8f-a61dcaa571ea	GET	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	18:48:44	de07ec00-4b5a-4089-85d7-803334eb66d6	GET	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	18:48:53	282f7efe-95d2-4f85-931a-26d32e98cc38	GET	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	18:50:02	1b143651-3831-4f9b-9299-85c6197cc210	GET	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	18:56:48	cff139ea-dfac-4410-8c4a-ad44ba7f3ee0	GET	undefined	/api/serie/series/user-info
20230731	18:56:57	13f9d959-44c8-4dd0-8c50-466c7876f45f	GET	undefined	/api/serie/series/user-info
20230731	18:57:06	c0bef6c6-169a-4eb8-98c2-e463e3e73ecd	GET	undefined	/api/serie/series/user-info
20230731	18:58:14	9f62f1b9-31a5-46f6-a4f9-f35ebb9e42fb	GET	undefined	/api/serie/series/user-info
20230731	18:58:37	b4bb33e5-8f06-4334-be6d-4c474011b076	GET	undefined	/api/serie/series/user-info
20230731	18:58:50	45ad25bf-5242-4132-919c-89a24abadb3d	GET	undefined	/api/serie/series/user-info
20230731	18:59:21	6baed2d7-5187-4ae2-a199-3afd0dd5c77e	GET	undefined	/api/serie/series/user-info
20230731	18:59:54	01d7123f-de18-41ea-9f6e-7aae51626708	GET	undefined	/api/serie/series/user-info
20230731	19:03:37	4fb29d34-fdec-4137-8327-c2bf643cb98d	GET	undefined	/api/serie/series/user-info
20230731	19:06:25	2fe4761f-c790-47e3-8c1d-ae0a010c41de	DELETE	undefined	/api/serie/series/2
20230731	19:07:00	d01e60d2-da2c-41fc-b92b-bb92c4dcbfc1	DELETE	undefined	/api/serie/series/2
20230731	19:08:22	4fbf477f-4b05-4a83-b30f-ecb7ee1fcf2e	DELETE	undefined	/api/serie/series/2
